item_id,source_id,split_hint,language,modality,sensitivity,content_hash,hidden,benchmark_marker
item-01,source-good-train,train,en,text,public,3512875952239822090,0,0
item-02,source-good-dev,development,en,text,public,7389221264849904976,0,0
item-03,source-good-train,train,en,text,public,3512875952239822090,0,0
item-04,source-good-dev,development,en,text,public,15145277762442652868,0,0
item-05,source-good-train,train,en,text,public,15169983428734836385,0,1
item-06,source-good-train,train,en,text,personal,10863191717937562576,0,0
item-07,source-good-train,train,en,text,secret,12453881489878545477,0,0
item-08,source-good-train,train,en,text,public,5214837688449779686,0,0
item-09,source-good-train,train,en,text,safety,2955768870382768333,0,0
item-10,source-good-train,train,en,text,public,1469598103934665603,0,0
item-11,source-good-train,train,en,text,public,15145277762442652868,0,0
item-12,source-good-train,train,en,text,public,7834654794259679572,0,0
item-13,source-good-train,train,en,text,public,13185906920449296555,0,0
item-14,source-good-train,train,en,text,public,7721274328031433162,0,0
item-15,source-eval,sealed,en,text,public,16073393213341925522,1,0
item-16,source-eval,sealed,en,text,public,2440473379233737279,1,1
item-17,source-no-delete,train,en,text,public,12465086110040673381,0,0
item-18,source-unclear,train,en,text,public,12481592176816729432,0,0
