item_id,source_id,split,status,decision_reason,sensitivity,content_hash,provenance_hash,pii_detected,secret_detected,safety_reviewed,retained,training_allowed,hidden,benchmark_marker
item-01,source-good-train,train,retained,,public,3512875952239822090,17379966548552787474,0,0,1,1,1,0,0
item-02,source-good-dev,development,retained,,public,7389221264849904976,12541598498692694854,0,0,1,1,1,0,0
item-03,source-good-train,train,quarantined,exact_duplicate,public,3512875952239822090,8558091428276207906,0,0,0,0,0,0,0
item-04,source-good-dev,development,quarantined,near_duplicate,public,15145277762442652868,8876943594761568750,0,0,0,0,0,0,0
item-05,source-good-train,train,quarantined,contamination,public,15169983428734836385,11701051750196455987,0,0,0,0,0,0,1
item-06,source-good-train,train,quarantined,privacy,personal,10863191717937562576,14670942721262315176,1,0,0,0,0,0,0
item-07,source-good-train,train,quarantined,secret,secret,12453881489878545477,8160742668940614210,0,1,0,0,0,0,0
item-08,source-good-train,train,quarantined,prompt_injection_quarantine,public,5214837688449779686,601535613096756818,0,0,1,0,0,0,0
item-09,source-good-train,train,quarantined,safety_quarantine,safety,2955768870382768333,16826605662165058615,0,0,1,0,0,0,0
item-10,source-good-train,train,quarantined,malformed,public,1469598103934665603,4554269672923094779,0,0,0,0,0,0,0
item-11,source-good-train,train,quarantined,near_duplicate,public,15145277762442652868,2898046315004339519,0,0,0,0,0,0,0
item-12,source-good-train,train,quarantined,annotation_schema,public,7834654794259679572,9386049329583368734,0,0,0,0,0,0,0
item-13,source-good-train,train,retained,,public,13185906920449296555,10177772987793848438,0,0,1,1,1,0,0
item-14,source-good-train,train,retained,,public,7721274328031433162,11638380993198733095,0,0,1,1,1,0,0
item-15,source-eval,sealed,quarantined,sealed_or_not_training,public,16073393213341925522,16391820587461258454,0,0,0,0,0,1,0
item-16,source-eval,sealed,quarantined,sealed_or_not_training,public,2440473379233737279,10799112355318978625,0,0,0,0,0,1,1
item-17,source-no-delete,train,quarantined,rights,public,12465086110040673381,17994064387184472831,0,0,0,0,0,0,0
item-18,source-unclear,train,quarantined,rights,public,12481592176816729432,10431474799425220869,0,0,0,0,0,0,0
