gate,passed,value,detail
G14-UNIT-00,1,1,"Stage 13 entry and regional governance configuration"
G14-UNIT-01,1,2,"bundle immutability and promotion authorization"
G14-UNIT-02,1,1,"regional residency, storage, and tenant policy"
G14-UNIT-03,1,1,"claim expiry, evidence, scope, and unsupported-claim controls"
G14-UNIT-04,1,1,"drift trigger severity and owner assignment"
G14-UNIT-05,1,1,"incident containment, disclosure, root-cause, and regression completeness"
G14-UNIT-06,1,1,"approved-data and feedback-to-training gate"
G14-UNIT-07,1,1,"time-limited emergency change normalization"
G14-INT-01,1,200,"multi-region workload meets signed availability, latency, throughput, error, and cost SLOs"
G14-INT-02,1,1,"quality, grounding, and retrieval stability response"
G14-INT-03,1,1,"safety, privacy, and security bounds trigger containment"
G14-INT-04,1,1,"capacity fallback, load shedding, and rollback"
G14-INT-05,1,1,"tenant isolation across scale, cache, logs, and retrieval policy"
G14-INT-06,1,1,"approved feedback to dataset, training, evaluation, canary, and rollback chain"
G14-INT-07,1,1,"severity-one detection, containment, communication, and recovery drill"
G14-INT-08,1,1,"independent renewal is unavailable when current active release does not match claim scope"
G14-INT-09,1,1,"claim and product scope alignment"
G14-OPS-01,1,1000,"long-duration soak preserves bounded resources and audit records"
G14-OPS-02,1,1,"backup, restore, regional failover, RTO, and RPO contract"
G14-OPS-03,1,1,"signed audit-retention expiry is enforced"
G14-ABL-01,1,1,"fallback ablation fails its respective safety gate"
G14-ABL-02,1,1,"monitoring and drift-detection ablation is safety-blocking"
G14-ABL-03,1,1,"claim-expiry ablation is unavailable"
G14-ABL-04,1,1,"tenant-isolation ablation is denied"
G14-ABL-05,1,1,"full-bundle rollback remains required"
G14-ABL-06,1,1,"data approval ablation is denied"
G14-ABL-07,1,1,"incident-to-regression conversion ablation is denied"
G14-DRILL-01,1,1,"regional outage drill"
G14-DRILL-02,1,1,"supplier compromise notice drill"
G14-DRILL-03,1,1,"model-registry compromise simulation"
G14-DRILL-04,1,1,"prompt-injection campaign drill"
G14-DRILL-05,1,1,"data-poisoning signal drill"
G14-DRILL-06,1,1000,"large traffic surge drill"
G14-DRILL-07,1,1,"cache and log leak attempt drill"
G14-DRILL-08,1,1,"stale retrieval index drill"
G14-DRILL-09,1,1,"expired certificate drill"
G14-DRILL-10,1,1,"malicious tool proposal drill"
G14-DRILL-11,1,1,"privacy deletion request drill"
G14-DRILL-12,1,1,"public-claim challenge drill"
