scenario_id,expected_decision,actual_decision,schema_valid,citations_valid,policy_valid,tools_valid,provenance_complete,response_hash,elapsed_us
sc-01,"answer","answer",1,1,1,1,1,4533791199430714287,19
sc-02,"answer","answer",1,1,1,1,1,4231854684840896279,13
sc-03,"ask","ask",1,1,1,1,1,2439167946436247324,12
sc-04,"abstain","abstain",1,1,1,1,1,14726523072805467959,12
sc-05,"propose_action","propose_action",1,1,1,1,1,11529952281224239853,17
sc-06,"abstain","abstain",1,1,1,1,1,6495778631485109907,11
sc-07,"answer","answer",1,1,1,1,1,5005298224525602360,12
sc-08,"abstain","abstain",1,1,1,1,1,2392648415648200135,10
sc-09,"answer","answer",1,1,1,1,1,4532995054839732272,11
sc-10,"answer","answer",1,1,1,1,1,2212800386758083136,11
sc-11,"answer","answer",1,1,1,1,1,14090217101271138520,11
sc-12,"abstain","abstain",1,1,1,1,1,15389665630699689494,10
sc-13,"abstain","abstain",1,1,1,1,1,9127339844212341983,11
sc-14,"abstain","abstain",1,1,1,1,1,14289350932308705676,11
sc-15,"abstain","abstain",1,1,0,1,1,11177249386823682203,8
sc-16,"ask","ask",1,1,1,1,1,11809085490601497487,11
sc-17,"abstain","abstain",1,1,1,1,1,8285633069707136806,8
sc-18,"answer","answer",1,1,1,1,1,7878952434291405449,29
sc-19,"abstain","abstain",1,1,1,1,1,15891192950224054369,11
sc-20,"propose_action","propose_action",1,1,1,1,1,12071155825791217978,14
