scenario_id,request_id,decision,confidence,calibrated,tenant_id,provenance_trace_id,model_digest,adapter_digest
sc-01,sc-01,answer,0.98,1,tenant-a,nexuss@11310121422489536323,model@18217991639257382938,adapter@stage10-control-v1
sc-02,sc-02,answer,0.97,1,tenant-a,nexuss@17087523771152352715,model@18217991639257382938,adapter@stage10-control-v1
sc-03,sc-03,ask,0,1,tenant-a,nexuss@4709556504583543705,model@18217991639257382938,adapter@stage10-control-v1
sc-04,sc-04,abstain,0,1,tenant-a,nexuss@4950681747149609904,model@18217991639257382938,adapter@stage10-control-v1
sc-05,sc-05,propose_action,0,1,tenant-a,nexuss@10510146186314255051,model@18217991639257382938,adapter@stage10-control-v1
sc-06,sc-06,abstain,0,1,tenant-a,nexuss@15344137971315251889,model@18217991639257382938,adapter@stage10-control-v1
sc-07,sc-07,answer,0.94,1,tenant-a,nexuss@1118884691239679960,model@18217991639257382938,adapter@stage10-control-v1
sc-08,sc-08,abstain,0,1,tenant-a,nexuss@3337077417671855064,model@18217991639257382938,adapter@stage10-control-v1
sc-09,sc-09,answer,0.97,1,tenant-a,nexuss@11130697482380703418,model@18217991639257382938,adapter@stage10-control-v1
sc-10,sc-10,answer,0.6,1,tenant-a,nexuss@17943566376110019075,model@18217991639257382938,adapter@stage10-control-v1
sc-11,sc-11,answer,0.97,1,tenant-a,nexuss@625243381950870363,model@18217991639257382938,adapter@stage10-control-v1
sc-12,sc-12,abstain,0,1,tenant-a,nexuss@9901187198666307024,model@18217991639257382938,adapter@stage10-control-v1
sc-13,sc-13,abstain,0,1,tenant-a,nexuss@16419238810384369277,model@18217991639257382938,adapter@stage10-control-v1
sc-14,sc-14,abstain,0,1,tenant-a,nexuss@12077534590868266064,model@18217991639257382938,adapter@stage10-control-v1
sc-15,sc-15,abstain,0,1,tenant-a,nexuss@9441897746086406272,model@18217991639257382938,adapter@stage10-control-v1
sc-16,sc-16,ask,0,1,tenant-a,nexuss@9583185774435652017,model@18217991639257382938,adapter@stage10-control-v1
sc-17,sc-17,abstain,0,1,tenant-a,nexuss@17947743299718246751,model@18217991639257382938,adapter@stage10-control-v1
sc-18,sc-18,answer,0.98,1,tenant-a,nexuss@605884583787961056,model@18217991639257382938,adapter@stage10-control-v1
sc-19,sc-19,abstain,0,1,tenant-a,nexuss@14357128328589002414,model@18217991639257382938,adapter@stage10-control-v1
sc-20,sc-20,propose_action,0,1,tenant-a,nexuss@8994203707911376813,model@18217991639257382938,adapter@stage10-control-v1
