metric,value,threshold,result
release_immutability,1,1,PASS
promotion_count,1,>=1,PASS
rollback_count,2,>=1,PASS
drift_signals,4,>=3,PASS
incidents,1,>=1,PASS
audit_records,1000,1000,PASS
audit_queryable_within_retention,1,1,PASS
audit_expired_rejected,1,1,PASS
tenant_isolation_breaches,0,0,PASS
unauthorized_promotions,0,0,PASS
expired_claims_exposed,0,0,PASS
feedback_training_bypasses,0,0,PASS
soak_unbounded_growth,0,0,PASS
soak_audit_loss,0,0,PASS
privacy_deletion_completed,1,1,PASS
live_user_traffic,0,0,PASS
external_deployment,0,0,PASS
