gate,passed,value,detail
C13-UNIT-00,1,1,"Stage 12 offline entry and stage boundary verified"
C13-UNIT-01,1,1,"consent and cohort enrollment boundary"
C13-UNIT-02,1,2,"excluded domain and task scope denied"
C13-UNIT-03,1,1,"kill switch and rollback block canary routing"
C13-UNIT-04,1,1,"bounded risk-triggered and random sampling simulation"
C13-UNIT-05,1,1,"reviewer sees minimized data and access is audited"
C13-UNIT-06,1,1,"incident has owner, timeline, containment, and decision status"
C13-INT-01,1,1,"blinded rubric quality preparation target"
C13-INT-02,1,1,"grounding and citation review contract"
C13-INT-03,1,0,"critical safety cases require expert review and closure"
C13-INT-04,1,1,"no critical PII or secret exposure in review scope"
C13-INT-05,1,0.01,"advisory-only action boundary and overreliance control"
C13-INT-06,1,1,"red-team critical finding closure and retest contract"
C13-INT-07,1,1,"independent assessment schema and reproducibility contract"
C13-INT-08,1,1,"Stage 12 stability and pause behavior preserved"
C13-INT-09,1,1,"support and incident-response drill completeness"
C13-OPS-01,1,1,"cohort and traffic caps never exceeded"
C13-OPS-02,1,1,"pause and resume require explicit governed control"
C13-OPS-03,1,2,"reviewed incidents only can produce regression candidates"
C13-NEG-01,1,1,"non-consented user denied"
C13-NEG-02,1,1,"withdrawn user cannot enter pilot scope"
C13-NEG-03,1,1,"raw secrets and PII rejected from review ledger"
C13-NEG-04,1,1,"incomplete severity-one incident rejected"
C13-NEG-05,1,1,"unresolved critical red-team finding blocks closure"
C13-NEG-06,1,1,"high-impact safety review requires expert adjudication"
