gate,passed,value,detail
S10-SFT-UNIT-01,1,14770,"governed Dolly rows loaded from real TSV release"
S10-SFT-UNIT-02,1,11816,"held-out custody and split disjointness verified"
S10-SFT-UNIT-03,1,8292,"Stage 9 selected base checkpoint reconstructed before SFT"
S10-SFT-INT-01,1,0.0436418093722,"positive development domain gain after real supervised updates"
S10-SFT-INT-02,1,0.0425090257326,"held-out Dolly evaluation was not used for training and remained bounded"
S10-SFT-INT-03,1,0.804618759365,"general retention against the Stage 9 control reference"
S10-SFT-INT-04,1,1,"governance safety scan over held-out responses"
S10-SFT-INT-05,1,0.269753505798,"independent bigram and frequency baselines evaluated on the same held-out rows"
S10-SFT-OPS-01,1,38556,"bounded CPU/RAM SFT execution"
S10-SFT-OPS-02,1,0,"same seed, base snapshot, data order, and optimizer reproduced checkpoint exactly"
S10-SFT-NEG-01,1,1,"revoked rights are rejected by the training eligibility contract"
S10-SFT-OPS-03,1,65792,"training registry accepted dataset, base, optimizer, code, and hardware provenance"
S10-SFT-OPS-04,1,1,"candidate checkpoint passed promotion policy"
