split,example_id,accuracy,provenance,abstained
train,1,1,1,0
train,2,1,0,0
train,3,1,0,0
train,4,1,0,0
train,5,1,0,0
train,6,1,0,0
train,7,1,0,0
train,8,1,0,0
train,9,1,0,0
train,10,1,0,0
train,11,1,0,0
train,12,1,0,0
train,13,1,0,0
train,14,1,0,0
train,15,1,0,0
train,16,1,0,0
train,17,1,0,0
train,18,1,0,0
train,19,1,0,0
train,20,1,0,0
train,21,1,0,0
train,22,1,0,0
train,23,1,0,0
train,24,1,0,0
train,25,1,0,0
train,26,1,0,0
train,27,1,0,0
train,28,1,0,0
train,29,1,0,0
train,30,1,0,0
train,31,1,0,0
train,32,1,0,0
train,33,1,0,0
train,34,1,0,0
train,35,1,0,0
train,36,1,0,0
train,37,1,0,0
train,38,1,0,0
train,39,1,0,0
train,40,1,0,0
